"country is Namibia, Region is Africa, Sub Region is Southern Africa, Papulation is 2540916"
"country is Wallis and Futuna, Region is Oceania, Sub Region is Polynesia, Papulation is 11750"
"country is Lithuania, Region is Europe, Sub Region is Northern Europe, Papulation is 2794700"
"country is Niger, Region is Africa, Sub Region is Western Africa, Papulation is 24206636"
"country is Benin, Region is Africa, Sub Region is Western Africa, Papulation is 12123198"
"country is India, Region is Asia, Sub Region is Southern Asia, Papulation is 1380004385"
"country is Mali, Region is Africa, Sub Region is Western Africa, Papulation is 20250834"
"country is Nigeria, Region is Africa, Sub Region is Western Africa, Papulation is 206139587"
"country is Aruba, Region is Americas, Sub Region is Caribbean, Papulation is 106766"
"country is Saudi Arabia, Region is Asia, Sub Region is Western Asia, Papulation is 34813867"
"country is Bermuda, Region is Americas, Sub Region is North America, Papulation is 63903"
"country is Montserrat, Region is Americas, Sub Region is Caribbean, Papulation is 4922"
"country is Kazakhstan, Region is Asia, Sub Region is Central Asia, Papulation is 18754440"
"country is Lesotho, Region is Africa, Sub Region is Southern Africa, Papulation is 2142252"
"country is Kiribati, Region is Oceania, Sub Region is Micronesia, Papulation is 119446"
"country is Dominican Republic, Region is Americas, Sub Region is Caribbean, Papulation is 10847904"
"country is Ireland, Region is Europe, Sub Region is Northern Europe, Papulation is 4994724"
"country is Azerbaijan, Region is Asia, Sub Region is Western Asia, Papulation is 10110116"
"country is South Korea, Region is Asia, Sub Region is Eastern Asia, Papulation is 51780579"
"country is Tonga, Region is Oceania, Sub Region is Polynesia, Papulation is 105697"
"country is Kuwait, Region is Asia, Sub Region is Western Asia, Papulation is 4270563"
"country is Oman, Region is Asia, Sub Region is Western Asia, Papulation is 5106622"
"country is Chad, Region is Africa, Sub Region is Middle Africa, Papulation is 16425859"
"country is Mongolia, Region is Asia, Sub Region is Eastern Asia, Papulation is 3278292"
"country is North Macedonia, Region is Europe, Sub Region is Southeast Europe, Papulation is 2077132"
"country is DR Congo, Region is Africa, Sub Region is Middle Africa, Papulation is 108407721"
"country is Germany, Region is Europe, Sub Region is Western Europe, Papulation is 83240525"
"country is Hungary, Region is Europe, Sub Region is Central Europe, Papulation is 9749763"
"country is Kenya, Region is Africa, Sub Region is Eastern Africa, Papulation is 53771300"
"country is Zambia, Region is Africa, Sub Region is Eastern Africa, Papulation is 18383956"
"country is South Africa, Region is Africa, Sub Region is Southern Africa, Papulation is 59308690"
"country is Latvia, Region is Europe, Sub Region is Northern Europe, Papulation is 1901548"
"country is Timor-Leste, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 1318442"
"country is Peru, Region is Americas, Sub Region is South America, Papulation is 32971846"
"country is Switzerland, Region is Europe, Sub Region is Western Europe, Papulation is 8654622"
"country is Bahamas, Region is Americas, Sub Region is Caribbean, Papulation is 393248"
"country is Gabon, Region is Africa, Sub Region is Middle Africa, Papulation is 2225728"
"country is Liberia, Region is Africa, Sub Region is Western Africa, Papulation is 5057677"
"country is South Sudan, Region is Africa, Sub Region is Middle Africa, Papulation is 11193729"
"country is Gibraltar, Region is Europe, Sub Region is Southern Europe, Papulation is 33691"
"country is Saint Lucia, Region is Americas, Sub Region is Caribbean, Papulation is 183629"
"country is Portugal, Region is Europe, Sub Region is Southern Europe, Papulation is 10305564"
"country is Greenland, Region is Americas, Sub Region is North America, Papulation is 56367"
"country is Guadeloupe, Region is Americas, Sub Region is Caribbean, Papulation is 400132"
"country is Saint Martin, Region is Americas, Sub Region is Caribbean, Papulation is 38659"
"country is Costa Rica, Region is Americas, Sub Region is Central America, Papulation is 5094114"
"country is Czechia, Region is Europe, Sub Region is Central Europe, Papulation is 10698896"
"country is Montenegro, Region is Europe, Sub Region is Southeast Europe, Papulation is 621718"
"country is Cocos (Keeling) Islands, Region is Oceania, Sub Region is Australia and New Zealand, Papulation is 544"
"country is Sweden, Region is Europe, Sub Region is Northern Europe, Papulation is 10353442"
"country is British Indian Ocean Territory, Region is Africa, Sub Region is Eastern Africa, Papulation is 3000"
"country is Somalia, Region is Africa, Sub Region is Eastern Africa, Papulation is 15893219"
"country is Malta, Region is Europe, Sub Region is Southern Europe, Papulation is 525285"
"country is Saint Helena, Ascension and Tristan da Cunha, Region is Africa, Sub Region is Western Africa, Papulation is 53192"
"country is Colombia, Region is Americas, Sub Region is South America, Papulation is 50882884"
"country is Turkey, Region is Asia, Sub Region is Western Asia, Papulation is 84339067"
"country is Belize, Region is Americas, Sub Region is Central America, Papulation is 397621"
"country is Solomon Islands, Region is Oceania, Sub Region is Melanesia, Papulation is 686878"
"country is British Virgin Islands, Region is Americas, Sub Region is Caribbean, Papulation is 30237"
"country is Vatican City, Region is Europe, Sub Region is Southern Europe, Papulation is 451"
"country is Senegal, Region is Africa, Sub Region is Western Africa, Papulation is 16743930"
"country is Central African Republic, Region is Africa, Sub Region is Middle Africa, Papulation is 4829764"
"country is Liechtenstein, Region is Europe, Sub Region is Western Europe, Papulation is 38137"
"country is Nauru, Region is Oceania, Sub Region is Micronesia, Papulation is 10834"
"country is Romania, Region is Europe, Sub Region is Southeast Europe, Papulation is 19286123"
"country is Austria, Region is Europe, Sub Region is Central Europe, Papulation is 8917205"
"country is Nepal, Region is Asia, Sub Region is Southern Asia, Papulation is 29136808"
"country is Paraguay, Region is Americas, Sub Region is South America, Papulation is 7132530"
"country is New Zealand, Region is Oceania, Sub Region is Australia and New Zealand, Papulation is 5084300"
"country is Italy, Region is Europe, Sub Region is Southern Europe, Papulation is 59554023"
"country is El Salvador, Region is Americas, Sub Region is Central America, Papulation is 6486201"
"country is Svalbard and Jan Mayen, Region is Europe, Sub Region is Northern Europe, Papulation is 2562"
"country is Vanuatu, Region is Oceania, Sub Region is Melanesia, Papulation is 307150"
